film_info,q_actor,q_director,q_genres,q_country,q_plot
"
    Tên phim : The Blues Brothers
    Thể loại : The Blues Brothers
    Diễn viên : ['Tom Erhart', 'Gerald Walling', 'John Belushi', 'Walter Levine', 'Frank Oz']
    Đạo diễn : ['John Landis']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Jake Blues trở lại cùng anh trai mình là Elwood sau khi được phóng thích từ tù, nhưng cặp đôi chỉ còn một vài ngày để đoàn tụ lại với ban nhạc R&B cũ của họ và cứu ngôi nhà Công giáo nơi hai người đã lớn lên, thoát khỏi cảnh truy lùng của cảnh sát trong khi chạy qua Chicago.
    ",Câu hỏi: Các diễn viên trong The Blues Brothers bao gồm ai?,"Đạo diễn nào tham gia thực hiện bộ phim ""The Blues Brothers""?","Bộ phim ""The Blues Brothers"" thuộc thể loại gì?",Cái tên của bộ phim The Blues Brothers được thực hiện ở đâu?,"Câu hỏi: ""Jake Blues trở lại với anh trai mình là Elwood trong bộ phim kinh điển The Blues Brothers để cứu ngôi nhà Công giáo nơi họ đã lớn lên""?"
"
    Tên phim : The Crow: Salvation
    Thể loại : The Crow: Salvation
    Diễn viên : ['Kirsten Dunst', 'William Atherton', 'Debbie Fan', 'Eric Mabius', 'Grant Shaud']
    Đạo diễn : ['Bharat Nalluri']
    Quốc gia : ['Đức', 'Hoa Kỳ']
    Mô tả : Alex Corvis trở lại thế giới sống để giải quyết vụ giết người của một cô gái trẻ mà anh bị buộc tội sai lầm.
    ",Trận chiêm bao: Giành được Sức sống lại có Kirsten Dunst đóng vai diễn nào trong phim?,"Đạo diễn nào đã làm việc cho bộ phim ""The Crow: Salvation""?","Câu hỏi: ""The Crow: Salvation thuộc thể loại gì?""","Bộ phim ""The Crow: Salvation"" được sản xuất ở nước nào?",Bạn có muốn biết Alex Corvis đã tìm ra được thủ phạm thực sự đứng đằng sau vụ giết người sai nguyên nhân của mình hay không trong bộ phim The Crow: Salvation?
"
    Tên phim : Star Trek: The Motion Picture
    Thể loại : Star Trek: The Motion Picture
    Diễn viên : ['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan', 'George Takei']
    Đạo diễn : ['Robert Wise']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Khi một con tàu không gian của sức mạnh khủng khiếp được phát hiện đang tiến đến Trái Đất, Đại tá Hải quân James T. Kirk nối lại tư cách chỉ huy của con tàu USS Enterprise đã được sửa chữa để bắt nó.
    ",Những diễn viên nào tham gia đóng vai chính trong Star Trek: The Motion Picture?,"Đạo diễn nào là người phụ trách việc thực hiện bộ phim ""Star Trek: The Motion Picture""?",Câu hỏi: Bộ phim Star Trek: The Motion Picture thuộc thể loại nào?,Câu hỏi: Bộ phim Star Trek: The Motion Picture do đâu được sản xuất?,Tên bộ phim Star Trek: The Motion Picture tập trung vào việc bảo vệ một con tàu không gian nào đang tiến đến Trái Đất?
"
    Tên phim : Niagara
    Thể loại : Niagara
    Diễn viên : ['Marilyn Monroe', 'Joseph Cotten', 'Jean Peters', 'Max Showalter', ""Denis O'Dea""]
    Đạo diễn : ['Henry Hathaway']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Khi hai cặp vợ chồng đến thăm thác nước Niagara, căng thẳng giữa một người vợ và chồng mình đạt đến mức giết người.
    ","""Niagara là bộ phim nào mà Marilyn Monroe và Joseph Cotten cùng diễn xuất?""","Đạo diễn của bộ phim ""Niagara"" là ai?","Câu hỏi: ""Bộ phim 'Niagara' thuộc thể loại nào?""","Bộ phim ""Niagara"" được sản xuất tại quốc gia nào?","Tại Niagara, hai cặp vợ chồng có những bất đồng trong cuộc hôn nhân dẫn đến cái chết của ai?"
"
    Tên phim : Stir of Echoes
    Thể loại : Stir of Echoes
    Diễn viên : ['Zachary David Cope', 'Kevin Bacon', 'Kathryn Erbe', 'Illeana Douglas', 'Kevin Dunn']
    Đạo diễn : ['David Koepp']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Một người đàn ông có niềm tin về một cô gái dân làng mất tích.
    ",Các diễn viên nào trong Stir of Echoes đều có vai trò chính?,"Đạo diễn của bộ phim ""Stir of Echoes"" là ai?","""Thể loại của bộ phim 'Stir of Echoes' là gì?""","Bộ phim ""Stir of Echoes"" được sản xuất ở quốc gia nào?","Câu hỏi: ""Trong bộ phim Stir of Echoes, người đàn ông này tin rằng cô gái dân làng đã mất tích ở đâu?"""
"
    Tên phim : Big Trouble in Little China
    Thể loại : Big Trouble in Little China
    Diễn viên : ['Kurt Russell', 'Kim Cattrall', 'Dennis Dun', 'James Hong', 'Victor Wong']
    Đạo diễn : ['John Carpenter']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Một lái xe đường dài khắc nghiệt và người bạn đồng hành của anh ta đối mặt với một pháp sư cổ đại trong một cuộc chiến siêu nhiên dưới trung tâm thương mại Hoa Kỳ.
    ","Ai trong số các diễn viên sau đã đóng vai chính trong bộ phim Big Trouble in Little China? 
['Kurt Russell', 'Kim Cattrall', 'Dennis Dun', 'James Hong', 'Victor Wong']","Đạo diễn của bộ phim ""Big Trouble in Little China"" có tên là gì?","Cái nào là thể loại của phim ""Big Trouble in Little China""?",Big Trouble in Little China thuộc nước nào?,"""Big Trouble in Little China"" là một bộ phim kinh dị phiêu lưu có nội dung về việc lái xe đường dài và người bạn đồng hành của anh ta đối mặt với những thảm họa siêu nhiên ở trung tâm thương mại Hoa Kỳ, vậy đó là sự thật hay không?"
"
    Tên phim : Jerry and Tom
    Thể loại : Jerry and Tom
    Diễn viên : ['Joe Mantegna', 'Sam Rockwell', 'Maury Chaykin', 'Ted Danson', 'Charles Durning']
    Đạo diễn : ['Saul Rubinek']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Tom và Jerry là hai kẻ giết người, họ làm việc trong ngày tại một đại lý xe cũ thứ ba. Tom là một chiến binh kinh nghiệm, còn Jerry thì mới vào nghề, và thái độ của họ đối với công việc rất khác biệt. Nó cũng cho thấy khi Tom phải giết bạn thân cũ Karl.
    ","Đội ngũ diễn viên của bộ phim ""Jerry and Tom"" bao gồm Joe Mantegna và Sam Rockwell. Hãy cho biết Sam Rockwell đã từng tham gia vai gì trong bộ phim này?","Ai là đạo diễn trong bộ phim ""Jerry and Tom""?","Câu hỏi: Thể loại nào được gọi là Jerry và Tom trong bộ phim ""Jerry and Tom""?","Tên phim ""Jerry and Tom"" được sản xuất ở quốc gia nào?","Câu hỏi: Trong bộ phim ""Jerry và Tom"", Tom và Jerry làm việc trong ngày tại đâu?"
"
    Tên phim : The Rocketeer
    Thể loại : The Rocketeer
    Diễn viên : ['Billy Campbell', 'Jennifer Connelly', 'Alan Arkin', 'Timothy Dalton', 'Paul Sorvino']
    Đạo diễn : ['Joe Johnston']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Một phi công trẻ tình cờ phát hiện ra một bộ đà thử nghiệm có khả năng giúp anh trở thành một anh hùng cao bay với mặt nạ.
    ",Đạo diễn Joe Johnston đã chọn những diễn viên nào để tham gia vào The Rocketeer?,"Đạo diễn nào đã làm việc trong dự án ""The Rocketeer""?","Câu hỏi: ""The Rocketeer"" thuộc thể loại gì?","Bộ phim ""The Rocketeer"" thuộc quốc gia nào?","Tên bộ phim ""The Rocketeer"" kể về một phi công trẻ nào đã tình cờ phát hiện ra một bộ đà thử nghiệm có khả năng giúp anh trở thành một anh hùng cao bay với mặt nạ?"
"
    Tên phim : Celebrity
    Thể loại : Celebrity
    Diễn viên : ['Greg Mottola', 'Jeff Mazzola', 'Dick Mingalone', 'Vladimir Bibic', 'Melanie Griffith']
    Đạo diễn : ['Woody Allen']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Số phận của một cặp vợ chồng được phân hóa hoàn toàn sau khi ly hôn.
    ",Giải thích chi tiết tình trạng hôn nhân trong bộ phim Celebrity là do ai?,"Câu hỏi: Đạo diễn của bộ phim ""Celebrity"" là ai?",""" Celebrity là một trong những tác phẩm hay nhất trong thể loại nào?""","Bộ phim ""Celebrity"" được sản xuất ở quốc gia nào?","Câu hỏi: ""Số phận của cặp vợ chồng trong bộ phim Celebrity như thế nào sau khi ly hôn?"""
"
    Tên phim : Urban Legend
    Thể loại : Urban Legend
    Diễn viên : ['Jared Leto', 'Alicia Witt', 'Rebecca Gayheart', 'Michael Rosenbaum', 'Loretta Devine']
    Đạo diễn : ['Jamie Blanks']
    Quốc gia : ['Canada', 'Hoa Kỳ']
    Mô tả : Một sinh viên đại học nghi ngờ một loạt cái chết kỳ lạ liên quan đến những truyền thuyết đô thị cụ thể nào đó.
    ","Câu hỏi: ""Dưới đây là danh sách các diễn viên tham gia trong phim Urban Legend, nhưng có thể bạn chưa biết rằng Jared Leto từng đóng vai gì đặc biệt?""",Đạo diễn nào từng chịu trách nhiệm về bộ phim Urban Legend?,"""Thể loại của bộ phim Urban Legend là gì?""",Urban Legend là bộ phim nào được quay ở hai quốc gia Canada và Hoa Kỳ?,"Cái chết kỳ lạ liên quan đến những truyền thuyết đô thị cụ thể nào được nhắc đến trong bộ phim ""Urban Legend""?"
