Unnamed: 0,title,year,genres,rating,plot,cast,director,countries,translated_plot,genres_vn,country_vn
0,The Blues Brothers,1980,"['Adventure', 'Comedy', 'Crime', 'Music', 'Musical']",7.9,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.","['Tom Erhart', 'Gerald Walling', 'John Belushi', 'Walter Levine', 'Frank Oz']",['John Landis'],['United States'],"Jake Blues trở lại cùng anh trai mình là Elwood sau khi được phóng thích từ tù, nhưng cặp đôi chỉ còn một vài ngày để đoàn tụ lại với ban nhạc R&B cũ của họ và cứu ngôi nhà Công giáo nơi hai người đã lớn lên, thoát khỏi cảnh truy lùng của cảnh sát trong khi chạy qua Chicago.","['Phiêu lưu', 'Hài', 'Tội phạm', 'Âm nhạc', 'Nhạc kịch']",['Hoa Kỳ']
1,The Crow: Salvation,2000,"['Action', 'Crime', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",4.9,Alex Corvis returns to the world of the living to solve the murder of a young woman that he was wrongly accused of.,"['Kirsten Dunst', 'William Atherton', 'Debbie Fan', 'Eric Mabius', 'Grant Shaud']",['Bharat Nalluri'],"['Germany', 'United States']",Alex Corvis trở lại thế giới sống để giải quyết vụ giết người của một cô gái trẻ mà anh bị buộc tội sai lầm.,"['Hành động', 'Tội phạm', 'Giả tưởng', 'Kinh dị', 'Bí ẩn', 'Giật gân']","['Đức', 'Hoa Kỳ']"
2,Star Trek: The Motion Picture,1979,"['Adventure', 'Mystery', 'Sci-Fi']",6.4,"When an alien spacecraft of enormous power is spotted approaching Earth, Admiral James T. Kirk resumes command of the overhauled USS Enterprise in order to intercept it.","['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan', 'George Takei']",['Robert Wise'],['United States'],"Khi một con tàu không gian của sức mạnh khủng khiếp được phát hiện đang tiến đến Trái Đất, Đại tá Hải quân James T. Kirk nối lại tư cách chỉ huy của con tàu USS Enterprise đã được sửa chữa để bắt nó.","['Phiêu lưu', 'Bí ẩn', 'Khoa học viễn tưởng']",['Hoa Kỳ']
3,Niagara,1953,"['Drama', 'Film-Noir', 'Thriller']",7.0,"As two couples are visiting Niagara Falls, tensions between one wife and her husband reach the level of murder.","['Marilyn Monroe', 'Joseph Cotten', 'Jean Peters', 'Max Showalter', ""Denis O'Dea""]",['Henry Hathaway'],['United States'],"Khi hai cặp vợ chồng đến thăm thác nước Niagara, căng thẳng giữa một người vợ và chồng mình đạt đến mức giết người.","['Chính kịch', 'Phim đen', 'Giật gân']",['Hoa Kỳ']
4,Stir of Echoes,1999,"['Horror', 'Mystery', 'Thriller']",6.9,A man has visions of a missing neighborhood girl.,"['Zachary David Cope', 'Kevin Bacon', 'Kathryn Erbe', 'Illeana Douglas', 'Kevin Dunn']",['David Koepp'],['United States'],Một người đàn ông có niềm tin về một cô gái dân làng mất tích.,"['Kinh dị', 'Bí ẩn', 'Giật gân']",['Hoa Kỳ']
5,Big Trouble in Little China,1986,"['Action', 'Adventure', 'Comedy', 'Fantasy']",7.2,A rough-and-tumble trucker and his sidekick face off with an ancient sorcerer in a supernatural battle beneath Chinatown.,"['Kurt Russell', 'Kim Cattrall', 'Dennis Dun', 'James Hong', 'Victor Wong']",['John Carpenter'],['United States'],Một lái xe đường dài khắc nghiệt và người bạn đồng hành của anh ta đối mặt với một pháp sư cổ đại trong một cuộc chiến siêu nhiên dưới trung tâm thương mại Hoa Kỳ.,"['Hành động', 'Phiêu lưu', 'Hài', 'Giả tưởng']",['Hoa Kỳ']
6,Jerry and Tom,1998,"['Comedy', 'Crime', 'Drama']",6.5,"Tom and Jerry are two hit men, they work by day at a third-rate second-hand car dealership. Tom is a veteran and Jerry is a novice in their business, and their attitude toward their profession differs a lot. It shows when Tom is required to kill his old friend Karl.—Anonymous","['Joe Mantegna', 'Sam Rockwell', 'Maury Chaykin', 'Ted Danson', 'Charles Durning']",['Saul Rubinek'],['United States'],"Tom và Jerry là hai kẻ giết người, họ làm việc trong ngày tại một đại lý xe cũ thứ ba. Tom là một chiến binh kinh nghiệm, còn Jerry thì mới vào nghề, và thái độ của họ đối với công việc rất khác biệt. Nó cũng cho thấy khi Tom phải giết bạn thân cũ Karl.","['Hài', 'Tội phạm', 'Chính kịch']",['Hoa Kỳ']
7,The Rocketeer,1991,"['Action', 'Adventure', 'Family', 'Sci-Fi', 'Thriller']",6.6,A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.,"['Billy Campbell', 'Jennifer Connelly', 'Alan Arkin', 'Timothy Dalton', 'Paul Sorvino']",['Joe Johnston'],['United States'],Một phi công trẻ tình cờ phát hiện ra một bộ đà thử nghiệm có khả năng giúp anh trở thành một anh hùng cao bay với mặt nạ.,"['Hành động', 'Phiêu lưu', 'Gia đình', 'Khoa học viễn tưởng', 'Giật gân']",['Hoa Kỳ']
8,Celebrity,1998,"['Comedy', 'Drama']",6.3,The fortunes of a husband and wife differ drastically after they divorce.,"['Greg Mottola', 'Jeff Mazzola', 'Dick Mingalone', 'Vladimir Bibic', 'Melanie Griffith']",['Woody Allen'],['United States'],Số phận của một cặp vợ chồng được phân hóa hoàn toàn sau khi ly hôn.,"['Hài', 'Chính kịch']",['Hoa Kỳ']
9,Urban Legend,1998,"['Horror', 'Mystery', 'Thriller']",5.6,A college student suspects a series of bizarre deaths are connected to certain urban legends.,"['Jared Leto', 'Alicia Witt', 'Rebecca Gayheart', 'Michael Rosenbaum', 'Loretta Devine']",['Jamie Blanks'],"['Canada', 'United States']",Một sinh viên đại học nghi ngờ một loạt cái chết kỳ lạ liên quan đến những truyền thuyết đô thị cụ thể nào đó.,"['Kinh dị', 'Bí ẩn', 'Giật gân']","['Canada', 'Hoa Kỳ']"
