B?NG DANH SÁCH CH?C N?NG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<Tên d? án>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
* ?i?n thông tin vào các c?t màu tr?ng;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Gi?i pháp bao g?m Phân tích thi?t k?;
Phát tri?n: g?m l?p trình, s?a l?i, unit test; 
Ki?m th?: K?ch b?n ki?m th?, Test tính n?ng, h??ng d?n s? d?ng";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TT;Mã yêu c?u;Tên Ch?c n?ng;Mô t? ch?c n?ng;Ghi chú (n?u có);comment;N? l?c th?c hi?n sau khi tái s? d?ng (MH);;;;;;;;"N? l?c th?c hi?n
(MH)";;;;Tái s? d?ng (%);Tái s? d?ng t? ch?c n?ng/h? th?ng nào;N? l?c d? án ?ánh giá có th? ??m b?o ???c;Ghi chú;Có thuê ngoài th?c hi?n không?;;;N? l?c thuê ngoài (MH);;;N? l?c t? th?c hi?n (MH);;;;;
;;;;;;T?ng n? l?c th?c hi?n (MH);Gi?i pháp;Phát tri?n;Ki?m th?;Comment;Ph?n h?i;Mã ch?c n?ng;Tên lo?i ch?c n?ng;Gi?i pháp;Phát tri?n;Ki?m th?;"T?ng n? l?c th?c hi?n
(MH)";;;;;Gi?i pháp;Phát tri?n;Ki?m th?;Gi?i pháp;Phát tri?n;Ki?m th?;Gi?i pháp;Phát tri?n;Ki?m th?;;;
1;;Phân tích thi?u sót c?a các k?t qu? ??u ra, t? ?ó ??a ra các ph??ng án ?? xu?t;"?? xu?t ph??ng án t?ng ch?t l??ng k?t qu? ??u ra c?a video t?ng h?p:
- Thay ??i ??c tr?ng cho bi?u di?n v?n b?n
- S? d?ng Video Language Model ?? h? tr? mô t? các s? ki?n trong cùng m?t chunk
- S? d?ng thêm mô hình Classification ?? l?c các chunk có Replay
";S? d?ng các ph??ng pháp liên quan t?i moment retrieval và highlight detection + bi?u di?n ??c tr?ng;;5,4;5,4;0;0;;;PTDL_?XGPM3;?? xu?t gi?i pháp xây d?ng model ph?c t?p;6;0;0;6;10%;;;;Không;Không;Không;;;;5,40;0,00;0,00;;;
2;;?? xu?t ph??ng án s? d?ng google-bert/bert-base-uncased cho bi?u di?n v?n b?n cho mô hình mutimodal s? d?ng video + text +keyword;?? xu?t ph??ng án s? d?ng google-bert/bert-base-uncased cho bi?u di?n v?n b?n cho mô hình mutimodal s? d?ng video + text +keyword;S? d?ng các mô hình khác cho bi?u di?n v?n b?n;;5,4;5,4;0;0;;;PTDL_?XGPM3;?? xu?t gi?i pháp xây d?ng model ph?c t?p;6;0;0;6;10%;;;;Không;Không;Không;;;;5,40;0,00;0,00;;;
3;;Xây d?ng mô hình TimeSformer s? d?ng Text Encoder là BERT;Xây d?ng mô hình TimeSformer s? d?ng Text Encoder là BERT;;;1,6;0;1,6;0;;;PTDL_TRAIN_MODEL_BASE;Training model base;0;2;0;2;20%;;;;Không;Không;Không;;;;0,00;1,60;0,00;;;
4;;Hu?n luy?n mô hình TimeSformer s? d?ng Text Encoder là BERT;Hu?n luy?n mô hình TimeSformer s? d?ng Text Encoder là BERT;;;1,6;0;1,6;0;;;PTDL_TRAIN_MODEL_BASE;Training model base;0;2;0;2;20%;;;;Không;Không;Không;;;;0,00;1,60;0,00;;;
5;;Tinh ch?nh tham s? learning rate;Tinh ch?nh tham s? learning rate;;;3,6;0;3,6;0;;;PTDL_MODEL_TUNING;Fine-tune hyperparameters;0;4;0;4;10%;;;;Không;Không;Không;;;;0,00;3,60;0,00;;;
6;;Tinh ch?nh tham s? optimizer;Tinh ch?nh tham s? optimizer;;;3,6;0;3,6;0;;;PTDL_MODEL_TUNING;Fine-tune hyperparameters;0;4;0;4;10%;;;;Không;Không;Không;;;;0,00;3,60;0,00;;;
