film_info,q_actor,q_director,q_genres,q_country,q_plot,ans_actor,ans_director,ans_categories,ans_description,ans_countries
"
    Tên phim : The Blues Brothers
    Thể loại : The Blues Brothers
    Diễn viên : ['Tom Erhart', 'Gerald Walling', 'John Belushi', 'Walter Levine', 'Frank Oz']
    Đạo diễn : ['John Landis']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Jake Blues trở lại cùng anh trai mình là Elwood sau khi được phóng thích từ tù, nhưng cặp đôi chỉ còn một vài ngày để đoàn tụ lại với ban nhạc R&B cũ của họ và cứu ngôi nhà Công giáo nơi hai người đã lớn lên, thoát khỏi cảnh truy lùng của cảnh sát trong khi chạy qua Chicago.
    ",Câu hỏi: Các diễn viên trong The Blues Brothers bao gồm ai?,"Đạo diễn nào tham gia thực hiện bộ phim ""The Blues Brothers""?","Bộ phim ""The Blues Brothers"" thuộc thể loại gì?",Cái tên của bộ phim The Blues Brothers được thực hiện ở đâu?,"Câu hỏi: ""Jake Blues trở lại với anh trai mình là Elwood trong bộ phim kinh điển The Blues Brothers để cứu ngôi nhà Công giáo nơi họ đã lớn lên""?","Các diễn viên chính trong ""The Blues Brothers"" bao gồm John Belushi và Dan Aykroyd. Ngoài ra, còn có những diễn viên phụ như James Brown, Cab Calloway và Carrie Fisher.

John Belushi vào vai Jake Blues, một cựu phạm tội trở lại cùng với anh trai Elwood (Dan Aykroyd) để đoàn tụ lại với ban nhạc R&B cũ của họ.","Đạo diễn của bộ phim ""The Blues Brothers"" là John Landis.","""The Blues Brothers"" là một bộ phim truyền thống, kết hợp giữa hài kịch và âm nhạc, với chủ đề chính xoay quanh những anh em Jake và Elwood Blues cố gắng tái sinh lại ban nhạc R&B cũ của họ trong khi đối mặt với nhiều khó khăn và thử thách. Thể loại chính xác của bộ phim này là một sự pha trộn độc đáo giữa nhạc blues truyền thống và hài kịch, nhưng có thể được phân loại chủ yếu vào thể loại ""Hài Kịch/Musical"".","Theo thông tin về bộ phim này, Jake Blues trở lại cùng anh trai mình là Elwood sau khi được phóng thích từ tù. Cặp đôi có mục tiêu giải cứu ngôi nhà Công giáo nơi hai người lớn lên khỏi cảnh nguy hiểm và truy lùng của cảnh sát trong khi chạy qua Chicago để đoàn tụ với ban nhạc R&B cũ của họ.","Bộ phim ""The Blues Brothers"" được thực hiện ở Hoa Kỳ."
"
    Tên phim : The Crow: Salvation
    Thể loại : The Crow: Salvation
    Diễn viên : ['Kirsten Dunst', 'William Atherton', 'Debbie Fan', 'Eric Mabius', 'Grant Shaud']
    Đạo diễn : ['Bharat Nalluri']
    Quốc gia : ['Đức', 'Hoa Kỳ']
    Mô tả : Alex Corvis trở lại thế giới sống để giải quyết vụ giết người của một cô gái trẻ mà anh bị buộc tội sai lầm.
    ",Trận chiêm bao: Giành được Sức sống lại có Kirsten Dunst đóng vai diễn nào trong phim?,"Đạo diễn nào đã làm việc cho bộ phim ""The Crow: Salvation""?","Câu hỏi: ""The Crow: Salvation thuộc thể loại gì?""","Bộ phim ""The Crow: Salvation"" được sản xuất ở nước nào?",Bạn có muốn biết Alex Corvis đã tìm ra được thủ phạm thực sự đứng đằng sau vụ giết người sai nguyên nhân của mình hay không trong bộ phim The Crow: Salvation?,"Tôi không thể tìm thấy thông tin về bộ phim ""Trận chiêm bao: Giành được Sức sống lại"" và sự tham gia của Kirsten Dunst. Nếu bạn có thể cung cấp thêm thông tin hoặc chi tiết khác về bộ phim này, tôi sẽ rất sẵn lòng giúp đỡ bạn!","Đạo diễn của bộ phim ""The Crow: Salvation"" là Bharat Nalluri.","Bộ phim The Crow: Salvation thuộc thể loại Action, Phim truyện về siêu nhiên (Supernatural Thriller).","Tôi có thể trả lời câu hỏi đó!

Alex Corvis, nhân vật chính của bộ phim, đã trở lại thế giới sống để giải quyết vụ giết người sai lầm mà anh bị buộc tội. Trong suốt bộ phim, Alex đã cố gắng tìm ra và trừng phạt những kẻ thực sự đứng đằng sau cái chết của cô gái trẻ.

Không tiết lộ nhiều thông tin hơn về nội dung phim, tôi có thể nói rằng Alex Corvis cuối cùng cũng đã tìm ra được thủ phạm thực sự và đạt được công lý cho chính mình.","Bộ phim ""The Crow: Salvation"" được sản xuất tại Đức và Hoa Kỳ."
"
    Tên phim : Star Trek: The Motion Picture
    Thể loại : Star Trek: The Motion Picture
    Diễn viên : ['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan', 'George Takei']
    Đạo diễn : ['Robert Wise']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Khi một con tàu không gian của sức mạnh khủng khiếp được phát hiện đang tiến đến Trái Đất, Đại tá Hải quân James T. Kirk nối lại tư cách chỉ huy của con tàu USS Enterprise đã được sửa chữa để bắt nó.
    ",Những diễn viên nào tham gia đóng vai chính trong Star Trek: The Motion Picture?,"Đạo diễn nào là người phụ trách việc thực hiện bộ phim ""Star Trek: The Motion Picture""?",Câu hỏi: Bộ phim Star Trek: The Motion Picture thuộc thể loại nào?,Câu hỏi: Bộ phim Star Trek: The Motion Picture do đâu được sản xuất?,Tên bộ phim Star Trek: The Motion Picture tập trung vào việc bảo vệ một con tàu không gian nào đang tiến đến Trái Đất?,"Bộ phim Star Trek: The Motion Picture có 5 diễn viên tham gia đóng vai chính, bao gồm:

1. William Shatner với vai James T. Kirk
2. Leonard Nimoy với vai Spock
3. DeForest Kelley với vai Dr. McCoy
4. James Doohan với vai Montgomery Scott (Chỉ huyMaintenance)
5. George Takei với vai Hikaru Sulu",Đạo diễn chịu trách nhiệm cho bộ phim này là Robert Wise.,"Bộ phim ""Star Trek: The Motion Picture"" thuộc thể loại khoa học viễn tưởng và phiêu lưu.","Bộ phim ""Star Trek: The Motion Picture"" tập trung vào việc bảo vệ một con tàu không gian có sức mạnh khủng khiếp, được biết là Vệ tinh Doomsday (Vệ tinh tận diệt), đang tiến đến Trái Đất.","Bộ phim ""Star Trek: The Motion Picture"" được sản xuất tại Hoa Kỳ."
"
    Tên phim : Niagara
    Thể loại : Niagara
    Diễn viên : ['Marilyn Monroe', 'Joseph Cotten', 'Jean Peters', 'Max Showalter', ""Denis O'Dea""]
    Đạo diễn : ['Henry Hathaway']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Khi hai cặp vợ chồng đến thăm thác nước Niagara, căng thẳng giữa một người vợ và chồng mình đạt đến mức giết người.
    ","""Niagara là bộ phim nào mà Marilyn Monroe và Joseph Cotten cùng diễn xuất?""","Đạo diễn của bộ phim ""Niagara"" là ai?","Câu hỏi: ""Bộ phim 'Niagara' thuộc thể loại nào?""","Bộ phim ""Niagara"" được sản xuất tại quốc gia nào?","Tại Niagara, hai cặp vợ chồng có những bất đồng trong cuộc hôn nhân dẫn đến cái chết của ai?","Marilyn Monroe và Joseph Cotten đều xuất hiện trong bộ phim ""Niagara"".","Đạo diễn của bộ phim ""Niagara"" chính là Henry Hathaway. Anh là một trong những đạo diễn kinh nghiệm và nổi tiếng của Hollywood vào thời điểm đó.

Nếu bạn muốn biết thêm về nhà làm phim này hoặc về nội dung, thể loại của phim thì chớ ngần ngại hỏi!","Bộ phim 'Niagara' thuộc thể loại Tragedy, Mạo hiểm và PhimThriller.","Trong bộ phim ""Niagara"", căng thẳng giữa một người vợ và chồng mình đã đạt đến mức cực đoan, khiến cho việc cân nhắc về khả năng xảy ra cái chết trở nên thực tế.","Bộ phim ""Niagara"" được sản xuất tại Hoa Kỳ."
"
    Tên phim : Stir of Echoes
    Thể loại : Stir of Echoes
    Diễn viên : ['Zachary David Cope', 'Kevin Bacon', 'Kathryn Erbe', 'Illeana Douglas', 'Kevin Dunn']
    Đạo diễn : ['David Koepp']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Một người đàn ông có niềm tin về một cô gái dân làng mất tích.
    ",Các diễn viên nào trong Stir of Echoes đều có vai trò chính?,"Đạo diễn của bộ phim ""Stir of Echoes"" là ai?","""Thể loại của bộ phim 'Stir of Echoes' là gì?""","Bộ phim ""Stir of Echoes"" được sản xuất ở quốc gia nào?","Câu hỏi: ""Trong bộ phim Stir of Echoes, người đàn ông này tin rằng cô gái dân làng đã mất tích ở đâu?""","Dưới đây là danh sách các diễn viên chính trong Stir of Echoes:

* Kevin Bacon: Là một nhà báo bị ảnh hưởng bởi một trải nghiệm tâm linh sau khi được một phụ nữ quàng cho một chiếc khăn chăn.
* Kathryn Erbe: Vai diễn của bà chưa được xác định rõ ràng nhưng có thể là người bạn gái hoặc mẹ của nhân vật chính.
* Illeana Douglas: Vai diễn của bà cũng chưa được xác định rõ ràng, nhưng thường đóng vai người phụ nữ có liên quan đến sự kiện chính.
* Kevin Dunn: Vai diễn của ông không được thông tin cụ thể.","Đạo diễn của bộ phim ""Stir of Echoes"" là David Koepp.","Bộ phim ""Stir of Echoes"" thuộc thể loại Horror và Phim tâm lý.",Người đàn ông trong bộ phim Stir of Echoes tin rằng cô gái dân làng đã mất tích tại khu vực bãi biển.,"Bộ phim ""Stir of Echoes"" được sản xuất ở Hoa Kỳ."
"
    Tên phim : Big Trouble in Little China
    Thể loại : Big Trouble in Little China
    Diễn viên : ['Kurt Russell', 'Kim Cattrall', 'Dennis Dun', 'James Hong', 'Victor Wong']
    Đạo diễn : ['John Carpenter']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Một lái xe đường dài khắc nghiệt và người bạn đồng hành của anh ta đối mặt với một pháp sư cổ đại trong một cuộc chiến siêu nhiên dưới trung tâm thương mại Hoa Kỳ.
    ","Ai trong số các diễn viên sau đã đóng vai chính trong bộ phim Big Trouble in Little China? 
['Kurt Russell', 'Kim Cattrall', 'Dennis Dun', 'James Hong', 'Victor Wong']","Đạo diễn của bộ phim ""Big Trouble in Little China"" có tên là gì?","Cái nào là thể loại của phim ""Big Trouble in Little China""?",Big Trouble in Little China thuộc nước nào?,"""Big Trouble in Little China"" là một bộ phim kinh dị phiêu lưu có nội dung về việc lái xe đường dài và người bạn đồng hành của anh ta đối mặt với những thảm họa siêu nhiên ở trung tâm thương mại Hoa Kỳ, vậy đó là sự thật hay không?","Một số diễn viên đã đóng vai chính trong bộ phim Big Trouble in Little China là:

- Kurt Russell: Ông đóng vai Jack Burton, lái xe đường dài khắc nghiệt.
- Kim Cattrall: Bà đóng vai Gracie Law, người bạn đồng hành của Jack Burton và luật sư.
- Dennis Dun: Anh đóng vai Wang Chi, nhân vật đồng hành khác trong câu chuyện.

Họ đều là những cái tên quan trọng khi nhắc đến bộ phim này.","Đạo diễn của bộ phim ""Big Trouble in Little China"" là John Carpenter.","Thể loại của phim ""Big Trouble in Little China"" chính xác là một bộ phim hành động, kỳ幻 và phiêu lưu.","Đó là đúng! ""Big Trouble in Little China"" chính là một bộ phim kinh dị phiêu lưu có nội dung về một lái xe đường dài và người bạn đồng hành của anh ta phải đối mặt với những thảm họa siêu nhiên ở trung tâm thương mại Hoa Kỳ. Bộ phim này đã trở thành một biểu tượng văn hóa trong thế giới điện ảnh.","Bộ phim ""Big Trouble in Little China"" được sản xuất tại Hoa Kỳ."
"
    Tên phim : Jerry and Tom
    Thể loại : Jerry and Tom
    Diễn viên : ['Joe Mantegna', 'Sam Rockwell', 'Maury Chaykin', 'Ted Danson', 'Charles Durning']
    Đạo diễn : ['Saul Rubinek']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Tom và Jerry là hai kẻ giết người, họ làm việc trong ngày tại một đại lý xe cũ thứ ba. Tom là một chiến binh kinh nghiệm, còn Jerry thì mới vào nghề, và thái độ của họ đối với công việc rất khác biệt. Nó cũng cho thấy khi Tom phải giết bạn thân cũ Karl.
    ","Đội ngũ diễn viên của bộ phim ""Jerry and Tom"" bao gồm Joe Mantegna và Sam Rockwell. Hãy cho biết Sam Rockwell đã từng tham gia vai gì trong bộ phim này?","Ai là đạo diễn trong bộ phim ""Jerry and Tom""?","Câu hỏi: Thể loại nào được gọi là Jerry và Tom trong bộ phim ""Jerry and Tom""?","Tên phim ""Jerry and Tom"" được sản xuất ở quốc gia nào?","Câu hỏi: Trong bộ phim ""Jerry và Tom"", Tom và Jerry làm việc trong ngày tại đâu?","Bộ phim ""Jerry and Tom"" không có Sam Rockwell trong dàn diễn viên chính thức.

Tuy nhiên, Joe Mantegna và Maury Chaykin đều đóng vai quan trọng trong phim như Tom - một kẻ giết người giỏi kinh nghiệm và Jerry - một kẻ mới vào nghề với thái độ rất khác biệt.","Đạo diễn của bộ phim ""Jerry and Tom"" là Saul Rubinek.","Bộ phim ""Jerry and Tom"" thực chất không phải là một bộ phim về mối quan hệ giữa hai nhân vật tên Jerry và Tom, mà là tựa đề cho việc miêu tả công việc của Tom và Jerry trong vai trò người giết người. Thể loại chính xác của bộ phim này được gọi là ""Hài kịch"" hoặc cụ thể hơn, hài kịch đen hoặc hài kinh dị vì nó thường có những yếu tố kỳ lạ về các nhân vật và tình huống.","Trong bộ phim ""Jerry and Tom"", Tom và Jerry làm việc tại một đại lý xe cũ thứ ba. Họ là hai kẻ giết người chuyên nghiệp với kinh nghiệm và thái độ khác biệt, nhưng vẫn phải làm việc cùng nhau để hoàn thành nhiệm vụ.","Bộ phim ""Jerry and Tom"" được sản xuất tại Hoa Kỳ."
"
    Tên phim : The Rocketeer
    Thể loại : The Rocketeer
    Diễn viên : ['Billy Campbell', 'Jennifer Connelly', 'Alan Arkin', 'Timothy Dalton', 'Paul Sorvino']
    Đạo diễn : ['Joe Johnston']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Một phi công trẻ tình cờ phát hiện ra một bộ đà thử nghiệm có khả năng giúp anh trở thành một anh hùng cao bay với mặt nạ.
    ",Đạo diễn Joe Johnston đã chọn những diễn viên nào để tham gia vào The Rocketeer?,"Đạo diễn nào đã làm việc trong dự án ""The Rocketeer""?","Câu hỏi: ""The Rocketeer"" thuộc thể loại gì?","Bộ phim ""The Rocketeer"" thuộc quốc gia nào?","Tên bộ phim ""The Rocketeer"" kể về một phi công trẻ nào đã tình cờ phát hiện ra một bộ đà thử nghiệm có khả năng giúp anh trở thành một anh hùng cao bay với mặt nạ?","Đạo diễn Joe Johnston đã chọn các diễn viên sau để tham gia vào The Rocketeer: Billy Campbell, Jennifer Connelly, Alan Arkin, Timothy Dalton và Paul Sorvino. Cả nhóm đều có vai trò quan trọng trong bộ phim này.","Đạo diễn của bộ phim này là Joe Johnston. Ông đã thực hiện một công việc tuyệt vời trong việc đưa bộ phim lên màn ảnh.

Nếu bạn cần biết thêm thông tin, xin vui lòng hỏi!","""The Rocketeer"" là một bộ phim phiêu lưu hành động với các yếu tố khoa học viễn tưởng. Trong đó, thể loại chính bao gồm:

- Phiêu lưu (Adventure): Bộ phim tập trung vào cuộc phiêu lưu của nhân vật chính, Pete Purschwitz/Pete Sturtevant.
- Hành động (Action): Bộ phim có nhiều tình huống hành động hấp dẫn với các cảnh bay lượn đầy kịch tích và cao trào.

Bộ phim còn pha trộn một số yếu tố từ:

- Kiến trúc phiêu lưu thời kỳ đầu thế kỷ 20, đặc trưng cho không gian Hollywood của thập niên 1930.
- Sự kết hợp giữa khoa học viễn tưởng với lịch sử thực tế và các chủ đề xã hội.

Tóm lại, ""The Rocketeer"" là một bộ phim thú vị pha trộn nhiều thể loại, mang đến trải nghiệm độc đáo cho người xem.","Bộ phim ""The Rocketeer"" kể về cuộc phiêu lưu của Phil Coulson, một phi công trẻ người Mỹ gốc Phi, khi anh tình cờ phát hiện ra bộ đà thử nghiệm của nhà sáng chế Paul Travers. Bộ đà này được thiết kế để mang đến khả năng bay cho phi công và trở thành một anh hùng cao bay với mặt nạ.","Bộ phim ""The Rocketeer"" thuộc quốc gia Hoa Kỳ."
"
    Tên phim : Celebrity
    Thể loại : Celebrity
    Diễn viên : ['Greg Mottola', 'Jeff Mazzola', 'Dick Mingalone', 'Vladimir Bibic', 'Melanie Griffith']
    Đạo diễn : ['Woody Allen']
    Quốc gia : ['Hoa Kỳ']
    Mô tả : Số phận của một cặp vợ chồng được phân hóa hoàn toàn sau khi ly hôn.
    ",Giải thích chi tiết tình trạng hôn nhân trong bộ phim Celebrity là do ai?,"Câu hỏi: Đạo diễn của bộ phim ""Celebrity"" là ai?",""" Celebrity là một trong những tác phẩm hay nhất trong thể loại nào?""","Bộ phim ""Celebrity"" được sản xuất ở quốc gia nào?","Câu hỏi: ""Số phận của cặp vợ chồng trong bộ phim Celebrity như thế nào sau khi ly hôn?""","Tôi có thể giúp bạn về câu hỏi này.

Tình trạng hôn nhân phân hóa hoàn toàn sau khi ly hôn trong bộ phim Celebrity chính là kết quả của cuộc tranh cãi và xung đột giữa hai vợ chồng. Quan trọng hơn, điều đó không phải là sự cố ngẫu nhiên mà do quá trình suy nghĩ và hành động của cả hai người đã dẫn đến sự phân rã của họ.

Cụ thể hơn, người chồng đã không ngừng đòi hỏi sự hoàn hảo từ người vợ và thường xuyên lên án cô ấy vì những lỗi nhỏ nhặt. Sự kiêu ngạo và tự tin thái quá này khiến người vợ cảm thấy bất an, cô không còn có thể đồng hành cùng người chồng và cuối cùng họ phải ly hôn.

Tuy nhiên, bạn cần lưu ý rằng việc diễn tả trên chỉ là một phần quan trọng của bộ phim Celebrity và tình trạng hôn nhân phân hóa hoàn toàn trong phim được gây nên bởi nhiều nguyên nhân phức tạp hơn.

Nếu bạn cần thêm thông tin hoặc muốn biết về các vai diễn khác trong bộ phim này, đừng ngần ngại hỏi!","Đạo diễn của bộ phim ""Celebrity"" là Woody Allen.","Bộ phim ""Celebrity"" thuộc thể loại Comedy-Drama. Tuy nhiên, nếu phải chọn chỉ một thể loại thì nó thường được phân loại vào thể loại Commedy vì nội dung hài hước của bộ phim.","Bộ phim ""Celebrity"" của Woody Allen mô tả số phận của một cặp vợ chồng bị phân hóa hoàn toàn sau khi ly hôn. Họ đang đối mặt với khó khăn và thay đổi trong cuộc sống cá nhân, khiến cho tình trạng mối quan hệ giữa hai người trở nên xa cách hơn.","Bộ phim ""Celebrity"" được sản xuất ở Hoa Kỳ."
"
    Tên phim : Urban Legend
    Thể loại : Urban Legend
    Diễn viên : ['Jared Leto', 'Alicia Witt', 'Rebecca Gayheart', 'Michael Rosenbaum', 'Loretta Devine']
    Đạo diễn : ['Jamie Blanks']
    Quốc gia : ['Canada', 'Hoa Kỳ']
    Mô tả : Một sinh viên đại học nghi ngờ một loạt cái chết kỳ lạ liên quan đến những truyền thuyết đô thị cụ thể nào đó.
    ","Câu hỏi: ""Dưới đây là danh sách các diễn viên tham gia trong phim Urban Legend, nhưng có thể bạn chưa biết rằng Jared Leto từng đóng vai gì đặc biệt?""",Đạo diễn nào từng chịu trách nhiệm về bộ phim Urban Legend?,"""Thể loại của bộ phim Urban Legend là gì?""",Urban Legend là bộ phim nào được quay ở hai quốc gia Canada và Hoa Kỳ?,"Cái chết kỳ lạ liên quan đến những truyền thuyết đô thị cụ thể nào được nhắc đến trong bộ phim ""Urban Legend""?",Jared Leto đã đóng vai Paul Gardener trong bộ phim này. Ông thủ vai một sinh viên đại học và cũng chính ông đang tìm hiểu về những truyền thuyết đô thị liên quan đến các cái chết kỳ lạ.,"Đạo diễn chịu trách nhiệm về bộ phim ""Urban Legend"" là Jamie Blanks.","Bộ phim Urban Legend thuộc thể loại phim Urban Legend (truyền thuyết đô thị). Phim này thường kể về những câu chuyện kinh dị hoặc kỳ lạ liên quan đến các sự kiện hoặc truyền thống trong cộng đồng. Cụ thể, trong ""Urban Legend"", một sinh viên đại học phải tìm hiểu về những cái chết không rõ nguyên nhân có vẻ như được dẫn dắt bởi những truyền thuyết đô thị cụ thể nào đó.","Trong bộ phim ""Urban Legend"", cái chết kỳ lạ liên quan đến những truyền thuyết đô thị cụ thể về một trò chơi CD. Các sinh viên tại trường đại học đã bắt đầu nhận ra rằng những người gặp nạn đều có liên hệ với trò chơi này và có vẻ như chúng ta đang nhìn thấy sự tái tạo lại của một câu chuyện kinh dị.","Bộ phim ""Urban Legend"" được quay ở cả hai quốc gia Canada và Hoa Kỳ."
