film_info,q_actor,q_director,q_genres,q_country,q_plot
"
    Tên phim : 4K Lãng Quên - Oblivion
    Thể loại : ['T16', 'Phim Âu Mỹ', 'Hành động & Phiêu lưu', 'Lãng Quên - Oblivion: Một người lính dày dặn được giao nhiệm vụ khai thác những tài nguyên còn lại của Trái đất bắt đầu hoài nghi về nhiệm vụ và sự tồn tại của mình.', 'Diễn viên:', 'Morgan Freeman', ',', 'Olga Kurylenko', 'Đạo diễn:', 'Joseph Kosinski', 'Quốc gia:', 'United States of America']
    Diễn viên : ['Morgan Freeman', '', 'Olga Kurylenko']
    Đạo diễn : ['Joseph Kosinski']
    Quốc gia : ['United States of America']
    Mô tả : nan
    ","Cái nào là tên các diễn viên đóng góp cho bộ phim ""4K Lãng Quên - Oblivion""?","Đạo diễn nào chịu trách nhiệm sản xuất phim ""4K Lãng Quên - Oblivion""?","Câu hỏi: Bộ phim ""4K Lãng Quên - Oblivion"" thuộc thể loại nào?","Câu hỏi: Bộ phim ""4K Lãng Quên - Oblivion"" được sản xuất ở quốc gia nào?","Bộ phim ""4K Lãng Quên - Oblivion"" là một tác phẩm như thế nào khi người lính dày dặn được giao nhiệm vụ khai thác tài nguyên còn lại của Trái đất bắt đầu hoài nghi?"
"
    Tên phim : Đêm Ở Trường Học - Night School
    Thể loại : ['T13', 'Phim Âu Mỹ', 'Phim tâm lý']
    Diễn viên : ['Kevin Hart', '', 'Taran Killam', '', 'Rob Riggle', '', 'Romany Malco', '', 'Tiffany Haddish']
    Đạo diễn : ['Malcolm D. Lee']
    Quốc gia : ['United States of America']
    Mô tả : Đêm Ở Trường Học - Night School là một bộ phim hài kể về Teddy Walker, một người đàn ông thất nghiệp phải quay lại trường học để lấy bằng tốt nghiệp trung học sau khi mất việc. Anh tham gia một lớp học ban đêm với hy vọng cải thiện cuộc sống của mình, nhưng gặp phải nhiều tình huống dở khóc dở cười cùng với nhóm bạn học đầy cá tính và cô giáo cứng rắn Carrie. Bộ phim khắc họa hành trình vượt qua k... Xem thêm
    ","Bộ phim ""Đêm Ở Trường Học - Night School"" có sự tham gia của các diễn viên nổi tiếng như Kevin Hart và Tiffany Haddish, vậy bạn đã từng xem một bộ phim nào có sự xuất hiện của diễn viên Tiffany Haddish chưa?","Câu hỏi: Đạo diễn của bộ phim ""Đêm Ở Trường Học - Night School"" là ai?","Bộ phim ""Đêm Ở Trường Học - Night School"" thuộc thể loại điện ảnh nào?","Câu hỏi: Bộ phim ""Đêm Ở Trường Học - Night School"" thuộc quốc gia nào?",Đêm Ở Trường Học - Night School là phim kể về việc một người đàn ông thất nghiệp phải quay lại trường học để lấy bằng tốt nghiệp trung học sau khi mất việc. Quá trình học tập và vượt qua khó khăn của anh ấy như thế nào?
"
    Tên phim : Hành Trình Trở Về - Home
    Thể loại : ['P', 'Phim Âu Mỹ', 'Phim hoạt hình']
    Diễn viên : ['Jennifer Lopez', '', 'Steve Martin', '', 'Brian Stepanek', '', 'Rihanna', '', 'Jim Parsons.', '', 'Matt Jones']
    Đạo diễn : ['Tim Johnson']
    Quốc gia : ['United States of America']
    Mô tả : Hành Trình Trở Về - Home là một bộ phim hoạt hình kể về cuộc gặp gỡ giữa một cô bé tên Tip và một người ngoài hành tinh ngộ nghĩnh tên Oh, thuộc chủng loài Boov đang tìm cách chiếm đóng Trái Đất. Khi Oh vô tình gây ra một sự cố khiến cả chủng loài của mình phải truy đuổi, anh và Tip cùng nhau phiêu lưu khắp nơi để tìm mẹ của Tip và bảo vệ Trái Đất. Trong quá trình đó, cả hai trở thành bạn bè và họ... Xem thêm
    ","Câu hỏi: ""Đạo diễn nào đã thực hiện bộ phim Hành Trình Trở Về - Home?""","""Đạo diễn nào là người thực hiện bộ phim 'Hành Trình Trở Về - Home'?""",Hành Trình Trở Về - Home là một bộ phim hoạt hình thuộc thể loại nào?,"Bộ phim ""Hành Trình Trở Về - Home"" được sản xuất ở nước nào?",Hành trình trở về - Home là một bộ phim hoạt hình kể về cuộc phiêu lưu của một cô bé tên Tip và một người ngoài hành tinh tên Oh như thế nào?
"
    Tên phim : Siêu Anh Hùng - Superwho
    Thể loại : ['T13', 'Phim Âu Mỹ', 'Hành động & Phiêu lưu', 'Diễn viên hết thời Cedric dường như sẽ phải sống cuộc đời của một kẻ thất bại. Bị bạn gái bỏ rơi, ngay cả cha, em gái và những người bạn thân nhất cũng mất niềm tin vào khả năng làm bất cứ điều gì đáng giá của anh ấy. Cuối cùng, anh ấy nhận được một vai chính: siêu anh hùng “Badman” - một cơ hội để kéo mình ra khỏi vòng xoáy đi xuống vô tận và nhận được sự tôn trọng của gia đình. Nhưng Cedric gặp ...', 'Xem thêm', 'Diễn viên:', 'Julien Arruti', ',', 'Philippe Lacheau', ',', 'Tarek Boudali', 'Đạo diễn:', 'Philippe Lacheau', 'Quốc gia:', 'France']
    Diễn viên : ['Julien Arruti', '', 'Philippe Lacheau', '', 'Tarek Boudali']
    Đạo diễn : ['Philippe Lacheau']
    Quốc gia : ['France']
    Mô tả : nan
    ","Cedric trong ""Siêu Anh Hùng - Superwho"" đã từng là diễn viên nổi tiếng, nhưng bây giờ anh ấy chỉ còn sống cuộc đời của một kẻ thất bại. Ai đang tham gia vào bộ phim này?","Phim ""Siêu Anh Hùng - Superwho"" do đạo diễn nào điều hành?","Tên phim ""Siêu Anh Hùng - Superwho"" thuộc thể loại gì?",Tên phim Siêu Anh Hùng - Superwho thuộc quốc gia nào?,"Cedric đã đạt được vai trò siêu anh hùng ""Badman"" có ý nghĩa gì với cuộc sống của ông?"
"
    Tên phim : 4K Sự Nổi Dậy Hoàn Hảo 3 - Pitch Perfect 3
    Thể loại : ['T13', 'Phim Âu Mỹ', 'Romance', 'Sự Nổi Dậy Hoàn Hảo 3 - Pitch Perfect 3: Bộ phim là phần tiếp theo của series phim ""Những cô nàng cá tính"". Sau chiến thắng tại giải Vô địch Thế giới, nhóm Bellas đã tan rã và phát hiện ra rằng họ chẳng thể tìm được công việc nào bằng giọng ca của mình. Nhưng ngay khi có cơ hội tham gia tour diễn nước ngoài của tổ chức USO, nhóm nhạc của những cô nàng mọt sách cá tính sẽ lại tái hợp để lần cuối cù...', 'Xem thêm', 'Diễn viên:', 'Anna Kendrick', ',', 'Brittany Snow', ',', 'Rebel Wilson', ',', 'Hailee Steinfeld', ',', 'Anna Camp', ',', 'John Lithgow', 'Đạo diễn:', 'Trish Sie', 'Quốc gia:', 'United States of America']
    Diễn viên : ['Anna Kendrick', '', 'Brittany Snow', '', 'Rebel Wilson', '', 'Hailee Steinfeld', '', 'Anna Camp', '', 'John Lithgow']
    Đạo diễn : ['Trish Sie']
    Quốc gia : ['United States of America']
    Mô tả : nan
    ","Ai trong số các diễn viên Anna Kendrick, Brittany Snow, Rebel Wilson, Hailee Steinfeld, Anna Camp và John Lithgow sẽ đóng vai chính ở bộ phim ""Sự Nổi Dậy Hoàn Hảo 3 - Pitch Perfect 3""?","Đạo diễn nào đứng sau sự nghiệp điện ảnh cho bộ phim ""4K Sự Nổi Dậy Hoàn Hảo 3 - Pitch Perfect 3""?","Tên bộ phim ""Sự Nổi Dậy Hoàn Hảo 3 - Pitch Perfect 3"" thuộc thể loại nào?","Trình bày một số sự kiện chủ chốt trong ""Sự Nổi Dậy Hoàn Hảo 3 - Pitch Perfect 3"" của Mỹ diễn ra ở đâu?","""Có bao giờ bạn đã muốn trở thành một phần của tour diễn USO hay chưa? Hãy xem xét câu chuyện của nhóm Bellas trong ""Sự Nổi Dậy Hoàn Hảo 3 - Pitch Perfect 3""?"""
"
    Tên phim : 4K Hiệp Sĩ Chuột - The Tale Of Despereaux
    Thể loại : ['K', 'Phim Âu Mỹ', 'Phim hoạt hình', 'Hiệp Sĩ Chuột - The Tale Of Despereaux kể về hành trình của Despereaux, một chú chuột nhỏ với đôi tai to và trái tim dũng cảm. Mặc dù bị xem là kẻ ngoài cuộc trong thế giới chuột vì không sợ hãi và có tình yêu đặc biệt với sách, Despereaux quyết định cứu công chúa Pea khi vương quốc của cô rơi vào bóng tối sau cái chết của nữ hoàng. Cùng với một con chuột chù bất mãn tên là Roscuro, và một cô bé h...', 'Xem thêm', 'Diễn viên:', 'Sigourney Weaver', ',', 'Stanley Tucci', ',', 'Tony Hale', ',', 'Kevin Kline', ',', 'Robbie Coltrane', 'Đạo diễn:', 'Sam Fell', ',', 'Robert Stevenhagen', 'Quốc gia:', 'United States of America']
    Diễn viên : ['Sigourney Weaver', '', 'Stanley Tucci', '', 'Tony Hale', '', 'Kevin Kline', '', 'Robbie Coltrane']
    Đạo diễn : ['Sam Fell', '', 'Robert Stevenhagen']
    Quốc gia : ['United States of America']
    Mô tả : nan
    ","Câu hỏi: ""Ai là những diễn viên góp mặt trong bộ phim 4K Hiệp Sĩ Chuột - The Tale Of Despereaux?""","Câu hỏi: ""Đạo diễn của bộ phim 4K Hiệp Sĩ Chuột - The Tale Of Despereaux là ai?""","Bộ phim ""4K Hiệp Sĩ Chuột - The Tale Of Despereaux"" thuộc thể loại gì?","Bộ phim ""4K Hiệp Sĩ Chuột - The Tale Of Despereaux"" được sản xuất tại quốc gia nào?",4K Hiệp Sĩ Chuột - The Tale Of Despereaux kể về hành trình của một chú chuột nhỏ với đôi tai to và trái tim dũng cảm trong thế giới chuột bị bóng tối bao trùm?
"
    Tên phim : Đường Về Nhà Của Cún Con - A Dog'S Way Home
    Thể loại : ['K', 'Phim Âu Mỹ', 'Cô cún Bella thực hiện cuộc phiêu lưu tìm về ngôi nhà thân quen, nơi cô lớn lên cùng cậu chủ đẹp trai của mình tại một nơi cách đó tận 600 ki-lô-mét. Trên cuộc hành trình của mình, Bella gặp rất nhiều người bạn mới và trải qua nhiều thử thách thú vị. Phim chuyển thể từ tiểu thuyết cùng tên nằm trong bộ ba loạt tiểu thuyết nổi tiếng lấy chủ đề về các chú chó.', 'Diễn viên:', 'Ashley Judd', ',', 'Edward James Olmos', ',', 'Jonah Hauer-King', 'Đạo diễn:', 'Charles Martin Smith', 'Quốc gia:', 'United States of America']
    Diễn viên : ['Ashley Judd', '', 'Edward James Olmos', '', 'Jonah Hauer-King']
    Đạo diễn : ['Charles Martin Smith']
    Quốc gia : ['United States of America']
    Mô tả : nan
    ","Bộ phim ""Đường Về Nhà Của Cún Con - A Dog'S Way Home"" có sự tham gia của diễn viên Jonah Hauer-King. Ông đóng vai trò gì trong bộ phim này?","Câu hỏi: Đạo diễn nào đã làm việc trên dự án tạo ra bộ phim ""Đường Về Nhà Của Cún Con - A Dog'S Way Home""?","Bộ phim ""Đường Về Nhà Của Cún Con - A Dog'S Way Home"" thuộc thể loại gì?","Bộ phim ""Đường Về Nhà Của Cún Con - A Dog'S Way Home"" thuộc quốc gia nào?",Cô cún Bella thực hiện cuộc phiêu lưu tìm về ngôi nhà thân quen có gì thú vị?
"
    Tên phim : Đội Trưởng Quần Chíp - Captain Underpants
    Thể loại : ['P', 'Phim Âu Mỹ', 'Phim hoạt hình']
    Diễn viên : ['Kevin Hart', '', 'Ed Helms', '', 'Thomas Middleditch']
    Đạo diễn : ['David Soren']
    Quốc gia : ['United States of America']
    Mô tả : Đội Trưởng Quần Chíp - Captain Underpants: George và Harold, hai cậu nhóc lớp bốn lắm trò, thôi miên thầy hiệu trưởng nghiêm túc của chúng và khiến thầy nghĩ mình là siêu anh hùng mặc quần lót.
    ","Kết quả phân tích yêu cầu đã được đưa ra dưới đây:

Câu hỏi: Kevin Hart đóng vai trò gì trong bộ phim ""Đội Trưởng Quần Chíp - Captain Underpants""?","Đạo diễn nào đứng sau việc thực hiện bộ phim ""Đội Trưởng Quần Chíp - Captain Underpants""?",Đội trưởng quần chíp - Captain Underpants là một bộ phim thuộc thể loại gì?,Tên phim Đội trưởng quần chích được sản xuất ở quốc gia nào?,"Cậu bé nào đã thôi miên thầy hiệu trưởng nghiêm túc trong bộ phim ""Đội Trưởng Quần Chíp - Captain Underpants""?"
"
    Tên phim : 4K Thuyết Yêu Thương - The Theory Of Everything
    Thể loại : ['T13', 'Phim Âu Mỹ', 'Phim tâm lý', 'Thuyết Yêu Thương - The Theory Of Everything là bộ phim tiểu sử kể về cuộc đời của nhà vật lý thiên tài Stephen Hawking. Phim tập trung vào mối quan hệ giữa Stephen và người vợ đầu tiên, Jane, từ khi họ gặp nhau lúc còn là sinh viên tại Đại học Cambridge. Khi Stephen bị chẩn đoán mắc bệnh ALS (xơ cứng teo cơ), cơ thể dần bị tàn phá nhưng trí tuệ phi thường của ông vẫn tỏa sáng. Bộ phim khắc họa nh...', 'Xem thêm', 'Diễn viên:', 'Felicity Jones', ',', 'Eddie Redmayne', ',', 'Charlie Cox', ',', 'Emily Watson', ',', 'David Thewlis', 'Đạo diễn:', 'James Marsh', 'Quốc gia:', 'United States of America']
    Diễn viên : ['Felicity Jones', '', 'Eddie Redmayne', '', 'Charlie Cox', '', 'Emily Watson', '', 'David Thewlis']
    Đạo diễn : ['James Marsh']
    Quốc gia : ['United States of America']
    Mô tả : nan
    ","Câu hỏi: Diễn viên nào trong ""4K Thuyết Yêu Thương - The Theory Of Everything"" đã thể hiện vai Stephen Hawking?",Câu hỏi: Đạo diễn nào đứng sau tác phẩm 4K Thuyết Yêu Thương - The Theory Of Everything?,"""4K Thuyết Yêu Thương - The Theory Of Everything là một bộ phim thuộc thể loại gì?""","Trước khi bị chẩn đoán mắc bệnh ALS, Stephen Hawking từng sống ở quốc gia nào dưới sự phản ánh trong 4K Thuyết Yêu Thương - The Theory Of Everything?","Câu hỏi: ""4K Thuyết Yêu Thương - The Theory Of Everything"" tập trung vào mối quan hệ giữa Stephen Hawking và người vợ đầu tiên thế nào?"
"
    Tên phim : Cảnh Sát Người Máy Chappie - Chappie
    Thể loại : ['T16', 'Phim Âu Mỹ', 'Hành động & Phiêu lưu', 'Chappie xoay quanh câu chuyện về một chú robot của lực lượng cảnh sát Johannesburg, bị hỏng sau một trận đánh, Chappie được một nhà khoa học trẻ khôi phục lại và “thổi hồn” vào biến cậu thành khác biệt. Chappie có linh hồn, có tình cảm và có suy nghĩ như một con người. Ẩn trong vẻ ngoài lạnh lùng cứng nhắc của một robot cảnh sát, linh hồn Chappie non nớt và ngây thơ như một đứa trẻ. Và hơn bao giờ...', 'Xem thêm', 'Diễn viên:', 'Sharlto Copley', ',', 'Hugh Jackman', ',', 'Dev Patel', 'Đạo diễn:', 'Neill Blomkamp', 'Quốc gia:', 'United States of America']
    Diễn viên : ['Sharlto Copley', '', 'Hugh Jackman', '', 'Dev Patel']
    Đạo diễn : ['Neill Blomkamp']
    Quốc gia : ['United States of America']
    Mô tả : nan
    ","Câu hỏi: Đơi viên nào đã đóng vai trò trong bộ phim ""Chappie""?","Cụ thể hoá câu hỏi này như sau:

"" Đạo diễn Neill Blomkamp đã thực hiện vai trò gì quan trọng với bộ phim Cảnh Sát Người Máy Chappie - Chappie?""","Bộ phim ""Cảnh Sát Người Máy Chappie - Chappie"" thuộc thể loại nào?","Bộ phim ""Cảnh Sát Người Máy Chappie - Chappie"" được sản xuất ở quốc gia nào?","Câu hỏi: Trong bộ phim ""Chappie"", Chappie sau khi bị hỏng có được sự hỗ trợ từ ai?"
